room,sigma,error
103,0.0644369,0.11593930456924433
103,0.0319032,0.11899865305540226
103,0.0222963,0.01231066204556033
103,0.0237307,0.010358518233801618
103,0.0244577,0.01890383283887155
103,0.0606716,0.011270988244160505
103,0.0613896,0.004021989557420409
104,0.0219319,0.010992979577894147
104,0.0234821,0.011859532031239895
104,0.0240566,0.005546764822849636
104,0.0220432,0.002222521091013762
104,0.0243889,0.005190201922854446
104,0.0239793,0.0028293108701586294
105,0.0215678,0.002374026116115869
105,0.0230228,0.013412147479057848
105,0.0249471,0.018002472052471186
105,0.0477288,0.01209070287452332
105,0.0543495,0.014424181085940476
105,0.0258349,0.1514221466628966
106,0.0215657,0.032463679705171146
106,0.0249357,0.03565681982454466
106,0.531424,0.05681380378921962
106,0.728479,0.04242113299995624
106,0.0239234,0.07958202435223675
106,0.0231611,0.06880656073369734
107,0.0220535,0.032070375738366574
107,0.0229893,0.018739183546782515
107,0.0259215,0.028152131358034006
107,0.038662,0.029204124708677445
107,0.029629,0.01935711755401567
107,0.0228682,0.03132670585937807
108,0.0383337,0.011131129143083479
108,0.0356417,0.006575382574421032
108,0.0232577,0.0012353497480470464
108,0.0217824,0.006065805799726641
108,0.024651,0.0019982242116441036
108,0.0566777,0.006574091268000621
108,0.0868511,0.006803738751597992
108,0.0338084,0.007313125186949737
108,0.0244845,0.014793650665065468
108,0.0244716,0.013632639106203798
109,0.0240544,0.16991016950141602
109,0.0224746,0.008532836574082346
109,0.0217049,0.10629709356327614
109,0.0276143,0.020171794664828307
109,0.0276567,0.015023971311207926
109,0.0221731,0.07928105295724842
109,0.0238755,0.07567734799793172
109,0.0240544,0.000910659101969354
110,0.0222813,0.013152752563626517
110,0.0222813,0.1393390289904437
110,0.0238075,0.031042958944018532
110,0.0246255,0.022355933977358265
110,0.0272849,0.028488597719087697
110,0.0245615,0.02617563179753243
111,0.0246779,0.0051708123152943335
111,0.0239511,0.17670047679618744
111,0.0466836,0.004229338009665413
111,0.0823499,0.00460671249374087
111,0.0361065,0.004482822771423768
111,0.0218033,0.004412629601496023
112,0.0236253,0.03699986216190527
112,0.0278176,0.0278971145461318
